,field_1,LEGALLAND,Mer,TP,RG,Qrtsec,Section,Qrt,Series,Slope,OM,Name,Name_2,Name_3,Name_4,easting,northing,b1,b2,b3,b4,b5,b6,b7,ari,ari_noBareSoil,CRSI,CRSI_noBareSoil,NDVI_July_Aug,NDVI_July_Aug_noBareSoil,NDVI_Sept_Oct,NDVI_Sept_Oct_noBareSoil,NDVI_SD,SAVI_Jul_Aug,SAVI_Jul_Aug_noBareSoil,SAVI_Sept_Oct,SAVI_Sept_Oct_noBareSoil,dem_3x3_sd3x3,dem_3x3_sd5x5,dem_3x3_sd9x9,dem_3x3_sd21x21,dem_9x9_sd21x21,dem_9x9_sd101x101,dem_3x3_tri,dem_5x5_tri,dem_9x9_tri,dem_9x9_tri_20,precip,temperature,MidSlope_Pos_100m,Norm_Height_100m,Slope_Height_100m,Stand_Height_100m,SWI_100m,Valley_Depth_100m,precip_spring,precip_summer,temperature_high,MODIS_NDVI_May_Oct,MODIS_NDVI_May,MODIS_NDVI_June,MODIS_NDVI_July,MODIS_NDVI_Aug,MODIS_NDVI_Sept,MODIS_NDVI_Oct,MODIS_NDVI_SD,MODIS_NDVI_Max_Min,MODIS_NDVI_Max_Month
1336,1337,NW-07-38-27-2,W2,38,27,NW07,7,NW,KPA,L,3.6,KEPPEL ORTHIC DARK BROWN,,,,441704.7995,5789906.073,773.2143,1067.5834,1251.5,1909.875,2758.9,2984.7083,2407.9443,1.2271067,1.7270231,0.78399,0.8150747,0.4823676,0.6058354,0.20155825,0.36927375,0.163576320995885,0.720969637569667,0.842527108718546,0.302003347827548,0.576923787119192,2.3532314,3.7844512,5.0533547,7.069334,6.520447,13.48902,4.6964025,3.8322735,2.2948973,4.900835,497.4115,288.367,0.5966104,0.7983052,9.080104,567.81,7.762534,2.2168114,135.568022701248,274.60437964118,7,0.38010946,0.23947904,0.43630198,0.7675686,0.62699395,0.33776665,0.27614313,0.5280895,0.2741572,7
1337,1338,NW-07-40-26-3,W3,40,26,NW07,7,NW,STA,,3.7,SCOTT ORTHIC DARK BROWN,,,,177959.2475,5819564.208,754.9167,1052.1428,1239.3214,2007.6666,3133.9375,2952.3364,2693,1.6292282,1.9565187,0.8102892,0.82693857,0.48642558,0.5574488,0.22932883,0.3888245,0.169428848012891,0.728211032900507,0.85693633459609,0.343042116007725,0.606442902839781,1.3009294,1.8157792,3.1047182,5.041816,4.813278,14.903704,2.6461298,2.3868494,2.0756507,3.5038095,462.1263,287.82565,0.37829775,0.31085116,1.3974296,545.81537,7.6135273,3.2072809,127.358166994263,257.590435507934,6.268293,0.3935738,0.25524417,0.48286337,0.744463,0.5808498,0.34949744,0.28048778,0.48921886,0.2708294,7
1338,1339,NW-07-42-21-2,W2,42,21,NW07,7,NW,WHF,,5.8,,,,,498500.4274,5828411.452,684.0833,955.2,1146.9286,1745,3156.25,2966.1365,2735,2.5165424,2.865802,0.84290797,0.8505211,0.6028218,0.63174903,0.2334933,0.3518057,0.202315618775821,0.903072774433406,0.95933754180661,0.349830013389789,0.542891263854852,0.32053703,0.5231924,0.98690563,1.6109362,1.1876017,8.517352,0.9863884,0.8666899,0.45281416,0.888636,526.3435,288.08514,0.111203626,0.4443982,2.2739727,438.37112,9.782496,2.839568,140.864813344988,291.119971751954,4.6829267,0.41553688,0.26767686,0.46677956,0.74025804,0.6573127,0.38100356,0.29187748,0.47258118,0.28436995,7
1339,1340,NW-07-42-22-2,W2,42,22,NW07,7,NW,WHA,M,6.8,WHITEWOOD ORTHIC,DARK GRAY,,,488758.9496,5828406.143,612.2,851.25,976.75,1528.2858,2833.375,2968.975,2513.125,2.3027632,2.5077202,0.8383829,0.8442026,0.6043513,0.635684,0.26623535,0.4232312,0.188859427960683,0.907787465503461,0.942946594639879,0.399289251894326,0.623480565711791,1.2044252,1.7125428,2.181619,4.322977,3.7701468,10.221598,1.931809,1.7371548,1.5614513,2.6875129,523.40796,288.07443,0.0657934,0.46719047,2.3332632,434.62576,8.270323,2.6367404,140.190580993053,289.413593242863,4.8536587,0.5760955,0.39426637,0.6374086,0.72878736,0.68044245,0.572133,0.42764443,0.334521,0.30261302,7
1340,1341,NW-07-42-22-2,W2,42,22,NW07,7,NW,WHC,U,4.2,WHITEWOOD CALCAREOUS,DARK G,,,488758.9496,5828406.143,612.2,851.25,976.75,1528.2858,2833.375,2968.975,2513.125,2.3027632,2.5077202,0.8383829,0.8442026,0.6043513,0.635684,0.26623535,0.4232312,0.188859427960683,0.907787465503461,0.942946594639879,0.399289251894326,0.623480565711791,1.2044252,1.7125428,2.181619,4.322977,3.7701468,10.221598,1.931809,1.7371548,1.5614513,2.6875129,523.40796,288.07443,0.0657934,0.46719047,2.3332632,434.62576,8.270323,2.6367404,140.190580993053,289.413593242863,4.8536587,0.5760955,0.39426637,0.6374086,0.72878736,0.68044245,0.572133,0.42764443,0.334521,0.30261302,7
1341,1342,NW-07-45-22-2,W2,45,22,NW07,7,NW,NRD,M,4.9,NORTHERN LIGHT DARK GRAY,LU,,,485638.8962,5862874.765,701.3333,971.96875,1147.4231,1770.6666,3162.75,2967.2012,2871.25,2.2259793,2.8172696,0.83244944,0.8459327,0.5836933,0.69477665,0.19261329,0.35933384,0.204078132186633,0.877055105586668,0.98385298448791,0.288366273028761,0.589656066831485,0.35450703,0.6889083,1.0331846,2.2195888,2.1689553,17.022148,0.90756834,0.83614576,0.7271816,1.4512653,525.5829,287.93768,0.08020206,0.540101,1.8000059,429.79584,9.610709,1.532851,138.891670175699,289.817522783645,4.4634147,0.3538718,0.23927334,0.43358433,0.74550146,0.58392656,0.31041527,0.25607434,0.5062281,0.27521065,7
1342,1343,NW-07-45-22-2,W2,45,22,NW07,7,NW,NRD,L,6.1,NORTHERN LIGHT,DARK GRAY,LU,,485638.8962,5862874.765,701.3333,971.96875,1147.4231,1770.6666,3162.75,2967.2012,2871.25,2.2259793,2.8172696,0.83244944,0.8459327,0.5836933,0.69477665,0.19261329,0.35933384,0.204078132186633,0.877055105586668,0.98385298448791,0.288366273028761,0.589656066831485,0.35450703,0.6889083,1.0331846,2.2195888,2.1689553,17.022148,0.90756834,0.83614576,0.7271816,1.4512653,525.5829,287.93768,0.08020206,0.540101,1.8000059,429.79584,9.610709,1.532851,138.891670175699,289.817522783645,4.4634147,0.3538718,0.23927334,0.43358433,0.74550146,0.58392656,0.31041527,0.25607434,0.5062281,0.27521065,7
1343,1344,NW-07-45-22-2,W2,45,22,NW07,7,NW,TGA,M,5.3,TIGER HILLS ORTHIC,DARK GRA,,,485638.8962,5862874.765,701.3333,971.96875,1147.4231,1770.6666,3162.75,2967.2012,2871.25,2.2259793,2.8172696,0.83244944,0.8459327,0.5836933,0.69477665,0.19261329,0.35933384,0.204078132186633,0.877055105586668,0.98385298448791,0.288366273028761,0.589656066831485,0.35450703,0.6889083,1.0331846,2.2195888,2.1689553,17.022148,0.90756834,0.83614576,0.7271816,1.4512653,525.5829,287.93768,0.08020206,0.540101,1.8000059,429.79584,9.610709,1.532851,138.891670175699,289.817522783645,4.4634147,0.3538718,0.23927334,0.43358433,0.74550146,0.58392656,0.31041527,0.25607434,0.5062281,0.27521065,7
1344,1345,NW-07-45-22-2,W2,45,22,NW07,7,NW,TGA,L,5.8,TIGER HILLS ORTHIC,DARK GRA,,,485638.8962,5862874.765,701.3333,971.96875,1147.4231,1770.6666,3162.75,2967.2012,2871.25,2.2259793,2.8172696,0.83244944,0.8459327,0.5836933,0.69477665,0.19261329,0.35933384,0.204078132186633,0.877055105586668,0.98385298448791,0.288366273028761,0.589656066831485,0.35450703,0.6889083,1.0331846,2.2195888,2.1689553,17.022148,0.90756834,0.83614576,0.7271816,1.4512653,525.5829,287.93768,0.08020206,0.540101,1.8000059,429.79584,9.610709,1.532851,138.891670175699,289.817522783645,4.4634147,0.3538718,0.23927334,0.43358433,0.74550146,0.58392656,0.31041527,0.25607434,0.5062281,0.27521065,7
1345,1346,NW-07-45-22-2,W2,45,22,NW07,7,NW,PPF,L,4.9,PORCUPINE PLAIN,GLEYED DARK,,,485638.8962,5862874.765,701.3333,971.96875,1147.4231,1770.6666,3162.75,2967.2012,2871.25,2.2259793,2.8172696,0.83244944,0.8459327,0.5836933,0.69477665,0.19261329,0.35933384,0.204078132186633,0.877055105586668,0.98385298448791,0.288366273028761,0.589656066831485,0.35450703,0.6889083,1.0331846,2.2195888,2.1689553,17.022148,0.90756834,0.83614576,0.7271816,1.4512653,525.5829,287.93768,0.08020206,0.540101,1.8000059,429.79584,9.610709,1.532851,138.891670175699,289.817522783645,4.4634147,0.3538718,0.23927334,0.43358433,0.74550146,0.58392656,0.31041527,0.25607434,0.5062281,0.27521065,7
1346,1347,NW-07-45-22-2,W2,45,22,NW07,7,NW,KAB,L,4.3,KAMSACK GLEYED,DARK GRAY,,,485638.8962,5862874.765,701.3333,971.96875,1147.4231,1770.6666,3162.75,2967.2012,2871.25,2.2259793,2.8172696,0.83244944,0.8459327,0.5836933,0.69477665,0.19261329,0.35933384,0.204078132186633,0.877055105586668,0.98385298448791,0.288366273028761,0.589656066831485,0.35450703,0.6889083,1.0331846,2.2195888,2.1689553,17.022148,0.90756834,0.83614576,0.7271816,1.4512653,525.5829,287.93768,0.08020206,0.540101,1.8000059,429.79584,9.610709,1.532851,138.891670175699,289.817522783645,4.4634147,0.3538718,0.23927334,0.43358433,0.74550146,0.58392656,0.31041527,0.25607434,0.5062281,0.27521065,7
1347,1348,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARD,M,6.1,ARBO RF I ELD GLEYED,DARK GRAY,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1348,1349,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARI,M,6.1,,,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1349,1350,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARE,M,5.5,,,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1350,1351,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARF,M,5.6,,,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1351,1352,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARD,U,5.9,ARBORFIELD GLEYED,DARK GRAY,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1352,1353,NW-07-46-14-2,W2,46,14,NW07,7,NW,EDD,U,4.5,ELDERSLEY DARK,GRAY LUVISOL,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1353,1354,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARE,M,5.7,,,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1354,1355,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARE,M,5.6,,,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1355,1356,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARC,M,5.7,ARBO RF I ELD DARK,GRAY SOLODI,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1356,1357,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARC,U,6.2,ARBORFIELD DARK,GRAY SOLODI,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1357,1358,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARD,M,6.2,ARBO RF I ELD GLEYED,DARK GRAY,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1358,1359,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARD,L,6.8,ARBORFIELD GLEYED,DARK GRAY,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1359,1360,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARC,U,6.2,ARBO RF I ELD DARK,GRAY SOLODI,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1360,1361,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARE,L,5.6,,,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1361,1362,NW-07-46-14-2,W2,46,14,NW07,7,NW,ARD,M,6.2,ARBO RF I ELD GLEYED,DARK GRAY,,,565198.1732,5867650.535,477.33334,664,792.75,1397.6666,2599.5,2872.1738,2178,2.2940855,2.634094,0.834341,0.84245366,0.6343576,0.66419446,0.2821779,0.40577096,0.198907876909129,0.950652656389859,0.99493855334731,0.424037163267909,0.658499192157032,0.4683176,1.1987197,2.4579623,2.5678775,1.6447506,6.9741654,2.0640397,1.7027215,0.8819326,1.2319282,553.9047,288.11328,0.49901947,0.7495097,5.034452,381.94315,9.951738,1.6801457,144.765726625858,306.125375812308,4.780488,0.5268829,0.31279892,0.5959421,0.74031115,0.6772162,0.482326,0.35024306,0.42751223,0.29133287,7
1362,1363,NW-08-07-18-3,W3,7,18,NW08,8,NW,VAA,L,6.8,VALOR ORTHIC BROWN,,,,252931.1479,5494102.429,852.6429,1211.7142,1458.9445,2183.3157,3287.818,3016.1792,2857.3215,1.0410672,1.517141,0.766328,0.8092863,0.3033928,0.49637073,0.17925014,0.35838273,0.14675578920533,0.455156822500066,0.729163812411815,0.268837252347632,0.552593020826171,2.4384866,3.5770922,5.095724,9.114265,8.328072,10.00975,4.178261,4.045731,4.035244,6.628387,465.0127,288.3172,0.26538804,0.47149873,4.0265775,871.1807,7.4975157,4.5894313,146.826778710132,242.357561778758,14.536586,0.26753926,0.20910613,0.33395866,0.61060435,0.33791038,0.21223211,0.19078064,0.4198237,0.21310455,7
1363,1364,NW-08-07-18-3,W3,7,18,NW08,8,NW,VAA,M,4.4,VALOR ORTHIC BROWN,,,,252931.1479,5494102.429,852.6429,1211.7142,1458.9445,2183.3157,3287.818,3016.1792,2857.3215,1.0410672,1.517141,0.766328,0.8092863,0.3033928,0.49637073,0.17925014,0.35838273,0.14675578920533,0.455156822500066,0.729163812411815,0.268837252347632,0.552593020826171,2.4384866,3.5770922,5.095724,9.114265,8.328072,10.00975,4.178261,4.045731,4.035244,6.628387,465.0127,288.3172,0.26538804,0.47149873,4.0265775,871.1807,7.4975157,4.5894313,146.826778710132,242.357561778758,14.536586,0.26753926,0.20910613,0.33395866,0.61060435,0.33791038,0.21223211,0.19078064,0.4198237,0.21310455,7
1364,1365,NW-08-08-12-3,W3,8,12,NW08,8,NW,ADA,C,2.1,ARDILL ORTHIC BROWN,,,,312108.2631,5501457.566,875.8333,1283.909,1572.2222,2262.7222,3317.8,3016.8713,2887.5833,1.0747685,1.7991394,0.7667899,0.8244635,0.26431146,0.52640253,0.15512712,0.35604903,0.144341853725879,0.395575656613236,0.747414474377029,0.231419547789211,0.511136096307899,0.39562818,0.5397131,0.7864074,3.3446112,3.1777453,23.15537,0.86847204,0.6567333,0.6482522,2.0007026,464.63443,288.5839,0.006623987,0.49884287,2.7964225,778.3114,9.387048,2.8088126,147.225179737342,249.59642887739,16.243902,0.3300334,0.26416022,0.5213289,0.58027565,0.31419516,0.26323742,0.26743364,0.31703824,0.19959742,7
1365,1366,NW-08-08-12-3,W3,8,12,NW08,8,NW,FXA,L,3.1,FOX VALLEY ORTHIC BROWN,,,,312108.2631,5501457.566,875.8333,1283.909,1572.2222,2262.7222,3317.8,3016.8713,2887.5833,1.0747685,1.7991394,0.7667899,0.8244635,0.26431146,0.52640253,0.15512712,0.35604903,0.144341853725879,0.395575656613236,0.747414474377029,0.231419547789211,0.511136096307899,0.39562818,0.5397131,0.7864074,3.3446112,3.1777453,23.15537,0.86847204,0.6567333,0.6482522,2.0007026,464.63443,288.5839,0.006623987,0.49884287,2.7964225,778.3114,9.387048,2.8088126,147.225179737342,249.59642887739,16.243902,0.3300334,0.26416022,0.5213289,0.58027565,0.31419516,0.26323742,0.26743364,0.31703824,0.19959742,7
1366,1367,NW-08-08-12-3,W3,8,12,NW08,8,NW,FXB,L,2.3,FOX VALLEY GLEYED BROWN,,,,312108.2631,5501457.566,875.8333,1283.909,1572.2222,2262.7222,3317.8,3016.8713,2887.5833,1.0747685,1.7991394,0.7667899,0.8244635,0.26431146,0.52640253,0.15512712,0.35604903,0.144341853725879,0.395575656613236,0.747414474377029,0.231419547789211,0.511136096307899,0.39562818,0.5397131,0.7864074,3.3446112,3.1777453,23.15537,0.86847204,0.6567333,0.6482522,2.0007026,464.63443,288.5839,0.006623987,0.49884287,2.7964225,778.3114,9.387048,2.8088126,147.225179737342,249.59642887739,16.243902,0.3300334,0.26416022,0.5213289,0.58027565,0.31419516,0.26323742,0.26743364,0.31703824,0.19959742,7
1367,1368,NW-08-09-12-3,W3,9,12,NW08,8,NW,HTA,,1.8,HATTON ORTHIC BROWN,,,,312442.3318,5511167.415,873.3889,1260.25,1554.0834,2263.875,3369.0625,3016.0144,2920.8076,0.96292925,1.4975703,0.7552414,0.80740094,0.27411515,0.47906455,0.16752389,0.3290282,0.115540730744516,0.411121962059501,0.676706520295273,0.25109444338825,0.534595689248012,0.42652586,0.47557086,0.5733501,1.3824565,1.162239,6.649721,0.525436,0.3766021,0.2505074,0.7791846,465.54895,288.57266,0.5460858,0.7730429,3.9092433,786.33997,9.254498,1.1468699,146.764610315233,250.398498832246,15.853659,0.33243123,0.27497873,0.46257526,0.5528864,0.3261591,0.2517418,0.24653295,0.30635348,0.19429344,7
1368,1369,NW-08-09-12-3,W3,9,12,NW08,8,NW,BYA,M,2.2,BIRSAY ORTHIC BROWN,,,,312442.3318,5511167.415,873.3889,1260.25,1554.0834,2263.875,3369.0625,3016.0144,2920.8076,0.96292925,1.4975703,0.7552414,0.80740094,0.27411515,0.47906455,0.16752389,0.3290282,0.115540730744516,0.411121962059501,0.676706520295273,0.25109444338825,0.534595689248012,0.42652586,0.47557086,0.5733501,1.3824565,1.162239,6.649721,0.525436,0.3766021,0.2505074,0.7791846,465.54895,288.57266,0.5460858,0.7730429,3.9092433,786.33997,9.254498,1.1468699,146.764610315233,250.398498832246,15.853659,0.33243123,0.27497873,0.46257526,0.5528864,0.3261591,0.2517418,0.24653295,0.30635348,0.19429344,7
1369,1370,NW-08-09-12-3,W3,9,12,NW08,8,NW,APD,U,0.4,ANTELOPE ORTHIC HUMIC,REGOS,,,312442.3318,5511167.415,873.3889,1260.25,1554.0834,2263.875,3369.0625,3016.0144,2920.8076,0.96292925,1.4975703,0.7552414,0.80740094,0.27411515,0.47906455,0.16752389,0.3290282,0.115540730744516,0.411121962059501,0.676706520295273,0.25109444338825,0.534595689248012,0.42652586,0.47557086,0.5733501,1.3824565,1.162239,6.649721,0.525436,0.3766021,0.2505074,0.7791846,465.54895,288.57266,0.5460858,0.7730429,3.9092433,786.33997,9.254498,1.1468699,146.764610315233,250.398498832246,15.853659,0.33243123,0.27497873,0.46257526,0.5528864,0.3261591,0.2517418,0.24653295,0.30635348,0.19429344,7
1370,1371,NW-08-09-19-3,W3,9,19,NW08,8,NW,WME,,3.2,WOOD MOUNTAIN ELUVIATED,BRO,,,244059.9075,5513981.733,884.7826,1259.1111,1527.7727,2262.889,3312.0938,3030.8674,2869.8462,1.1205953,1.6201713,0.77164996,0.8072599,0.3273945,0.504081,0.15875298,0.36387718,0.153005153508485,0.490492776571935,0.716588569284524,0.237385631192431,0.540225340976478,0.49785307,0.7302361,1.317724,2.7321556,2.0753853,6.030595,1.3759109,1.0397835,0.6905852,1.5565599,462.5637,288.36844,0.095414065,0.547707,3.1526434,873.89545,8.18527,2.603433,145.364006187772,241.832282949164,14.609756,0.34013334,0.23688905,0.38966003,0.6589107,0.39335668,0.28299883,0.24368069,0.42202163,0.22178958,7
